"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2024","18,835.24","18,692.54","18,873.24","18,692.54","","0.76%"
"09/25/2024","18,692.54","18,394.24","18,703.15","18,394.24","","1.62%"
"09/24/2024","18,394.24","18,223.89","18,395.41","18,107.31","","0.93%"
"09/23/2024","18,223.89","18,098.18","18,223.89","18,098.18","","0.69%"
"09/20/2024","18,098.18","17,940.35","18,277.91","17,940.35","","0.88%"
"09/19/2024","17,940.35","17,635.45","17,941.71","17,581.95","","1.73%"
"09/18/2024","17,635.45","17,792.60","17,792.60","17,523.39","","-0.88%"
"09/16/2024","17,792.60","17,741.64","17,802.47","17,677.55","","0.29%"
"09/13/2024","17,741.64","17,673.96","17,820.10","17,628.74","","0.38%"
"09/12/2024","17,673.96","17,064.91","17,723.48","17,064.91","","3.57%"
"09/11/2024","17,064.91","17,117.14","17,158.38","17,063.45","","-0.31%"
"09/10/2024","17,117.14","17,094.39","17,263.88","17,044.85","","0.13%"
"09/09/2024","17,094.39","17,409.44","17,409.44","16,957.74","","-1.81%"
"09/06/2024","17,409.44","17,150.50","17,417.36","17,123.92","","1.51%"
"09/05/2024","17,150.50","17,039.14","17,381.98","17,039.14","","0.65%"
"09/04/2024","17,039.14","17,902.48","17,902.48","16,945.12","","-4.82%"
"09/03/2024","17,902.48","18,024.50","18,080.29","17,890.53","","-0.68%"
"09/02/2024","18,024.50","18,000.04","18,169.75","17,952.39","","0.14%"
"08/30/2024","18,000.04","17,986.57","18,096.31","17,973.04","","0.07%"
"08/29/2024","17,986.57","18,203.95","18,203.95","17,822.75","","-1.19%"
"08/28/2024","18,203.95","17,954.16","18,207.17","17,900.48","","1.39%"
"08/27/2024","17,954.16","18,057.52","18,057.52","17,877.49","","-0.57%"
"08/26/2024","18,057.52","18,057.52","18,057.52","18,057.52","","0.29%"
"08/23/2024","18,004.74","18,023.31","18,023.31","17,830.64","","-0.10%"
"08/22/2024","18,023.31","18,121.89","18,201.76","17,963.11","","-0.54%"
"08/21/2024","18,121.89","18,342.71","18,342.71","18,062.74","","-1.20%"
"08/20/2024","18,342.71","18,335.71","18,441.23","18,269.34","","0.04%"
"08/19/2024","18,335.71","18,281.89","18,391.41","18,231.34","","0.29%"
"08/16/2024","18,281.89","17,841.86","18,282.56","17,841.86","","2.47%"
"08/15/2024","17,841.86","18,007.18","18,024.25","17,841.86","","-0.92%"
"08/14/2024","18,007.18","17,805.24","18,112.57","17,805.24","","1.13%"
"08/13/2024","17,805.24","17,784.80","17,872.82","17,735.49","","0.11%"
"08/12/2024","17,784.80","17,557.39","17,913.06","17,557.39","","1.30%"
"08/09/2024","17,557.39","16,979.30","17,648.07","16,979.30","","3.40%"
"08/08/2024","16,979.30","17,362.12","17,362.12","16,843.44","","-2.20%"
"08/07/2024","17,362.12","16,728.44","17,363.45","16,728.44","","3.79%"
"08/06/2024","16,728.44","15,886.18","16,964.34","15,886.18","","5.30%"
"08/05/2024","15,886.18","17,402.81","17,402.81","15,843.25","","-8.71%"
"08/02/2024","17,402.81","18,345.31","18,345.31","17,394.19","","-5.14%"
"08/01/2024","18,345.31","17,969.84","18,438.00","17,969.84","","2.09%"
"07/31/2024","17,969.84","18,004.94","18,061.33","17,823.30","","-0.19%"
"07/30/2024","18,004.94","18,019.24","18,083.83","17,698.27","","-0.08%"
"07/29/2024","18,019.24","17,825.82","18,161.01","17,825.82","","1.09%"
"07/26/2024","17,825.82","18,620.51","18,620.51","17,665.74","","-4.27%"
"07/23/2024","18,620.51","18,004.01","18,622.07","18,004.01","","3.42%"
"07/22/2024","18,004.01","18,553.63","18,553.63","17,927.29","","-3.09%"
"07/19/2024","18,577.80","19,036.68","19,036.68","18,571.58","","-2.41%"
"07/18/2024","19,036.68","19,412.22","19,412.22","18,783.57","","-1.93%"
"07/17/2024","19,412.22","19,716.10","19,716.10","19,275.67","","-1.54%"
"07/16/2024","19,716.10","19,573.24","19,900.57","19,530.39","","0.73%"
"07/15/2024","19,573.24","19,617.66","19,701.04","19,428.45","","-0.23%"
"07/12/2024","19,617.66","20,190.72","20,190.72","19,438.69","","-2.84%"
"07/11/2024","20,190.72","19,745.26","20,204.76","19,745.26","","2.26%"
"07/10/2024","19,745.26","19,686.93","19,791.31","19,357.83","","0.30%"
"07/09/2024","19,686.93","19,595.68","19,901.04","19,417.83","","0.47%"
"07/08/2024","19,595.68","19,118.96","19,745.05","19,062.27","","2.49%"
"07/05/2024","19,118.96","19,126.10","19,203.05","19,044.08","","-0.04%"
"07/04/2024","19,126.10","18,749.55","19,185.29","18,749.55","","2.01%"
"07/03/2024","18,749.55","18,487.67","18,749.55","18,487.67","","1.42%"
"07/02/2024","18,487.67","18,678.23","18,678.23","18,463.59","","-1.02%"
"07/01/2024","18,678.23","18,634.37","18,794.97","18,629.27","","0.24%"
"06/28/2024","18,634.37","18,537.27","18,726.55","18,496.75","","0.52%"
"06/27/2024","18,537.27","18,582.58","18,582.58","18,373.75","","-0.24%"
"06/26/2024","18,582.58","18,441.54","18,651.61","18,441.54","","0.76%"
"06/25/2024","18,441.54","18,384.08","18,441.54","18,108.20","","0.31%"
"06/24/2024","18,384.08","18,837.92","18,837.92","18,382.71","","-2.41%"
"06/21/2024","18,837.92","19,002.80","19,002.80","18,702.52","","-0.87%"
"06/20/2024","19,002.80","18,869.02","19,002.80","18,786.63","","0.71%"
"06/19/2024","18,869.02","18,304.58","18,926.08","18,304.58","","3.08%"
"06/18/2024","18,304.58","18,018.98","18,343.83","18,018.98","","1.58%"
"06/17/2024","18,018.98","18,033.26","18,071.75","17,911.87","","-0.08%"
"06/14/2024","18,033.26","17,911.67","18,033.26","17,763.75","","0.68%"
"06/13/2024","17,911.67","17,659.77","18,073.96","17,659.77","","1.43%"
"06/12/2024","17,659.77","17,320.11","17,714.53","17,320.11","","1.96%"
"06/11/2024","17,320.11","17,315.05","17,492.09","17,315.05","","0.03%"
"06/07/2024","17,315.05","17,473.22","17,473.22","17,295.20","","-0.91%"
"06/06/2024","17,473.22","16,948.93","17,554.64","16,948.93","","3.09%"
"06/05/2024","16,948.93","16,770.37","16,980.95","16,689.98","","1.06%"
"06/04/2024","16,770.37","16,947.10","16,951.25","16,721.36","","-1.04%"
"06/03/2024","16,947.10","16,564.22","17,030.92","16,564.22","","2.31%"
"05/31/2024","16,564.22","16,814.28","16,960.25","16,563.48","","-1.49%"
"05/30/2024","16,814.28","17,096.00","17,096.00","16,810.48","","-1.65%"
"05/29/2024","17,096.00","17,297.35","17,324.29","17,096.00","","-1.16%"
"05/28/2024","17,297.35","17,331.39","17,407.22","17,286.33","","-0.20%"
"05/27/2024","17,331.39","17,120.76","17,405.70","17,120.76","","1.23%"
"05/24/2024","17,120.76","17,225.99","17,225.99","17,002.31","","-0.61%"
"05/23/2024","17,225.99","17,069.24","17,239.69","17,069.24","","0.92%"
"05/22/2024","17,069.24","16,743.75","17,086.22","16,743.75","","1.94%"
"05/21/2024","16,743.75","16,751.05","16,785.05","16,638.19","","-0.04%"
"05/20/2024","16,751.05","16,737.96","16,790.77","16,575.00","","0.08%"
"05/17/2024","16,737.96","16,801.22","16,844.32","16,716.29","","-0.38%"
"05/16/2024","16,801.22","16,713.31","17,044.58","16,713.31","","0.53%"
"05/15/2024","16,713.31","16,537.42","16,847.42","16,529.89","","1.06%"
"05/14/2024","16,537.42","16,416.95","16,547.14","16,331.60","","0.73%"
"05/13/2024","16,416.95","16,234.52","16,499.23","16,234.52","","1.12%"
"05/10/2024","16,234.52","16,102.21","16,296.13","16,102.21","","0.82%"
"05/09/2024","16,102.21","16,189.49","16,239.42","16,101.59","","-0.54%"
"05/08/2024","16,189.49","16,139.92","16,189.94","16,050.90","","0.31%"
"05/07/2024","16,139.92","15,965.51","16,140.10","15,965.51","","1.09%"
"05/06/2024","15,965.51","15,767.54","16,073.20","15,767.54","","1.26%"
"05/03/2024","15,767.54","15,619.37","15,923.88","15,619.37","","0.95%"
"05/02/2024","15,619.37","15,841.69","15,841.69","15,619.30","","-1.40%"
"04/30/2024","15,841.69","15,944.13","16,038.48","15,841.57","","-0.64%"
"04/29/2024","15,944.13","15,639.49","15,953.72","15,639.49","","1.95%"
"04/26/2024","15,639.49","15,392.70","15,748.58","15,392.70","","1.60%"
"04/25/2024","15,392.70","15,684.52","15,684.52","15,382.61","","-1.86%"
"04/24/2024","15,684.52","15,192.43","15,726.08","15,192.43","","3.24%"
"04/23/2024","15,192.43","15,034.56","15,286.25","15,034.56","","1.05%"
"04/22/2024","15,034.56","15,112.51","15,235.10","15,011.63","","-0.52%"
"04/19/2024","15,112.51","15,881.13","15,881.13","14,977.74","","-4.84%"
"04/18/2024","15,881.13","15,839.53","15,962.86","15,664.58","","0.26%"
"04/17/2024","15,839.53","15,597.84","15,892.41","15,597.84","","1.55%"
